proc,label,mean_ms,mult_per_step,ms_per_step
draft,draft_recv_cmd,15.530738347880552,1,15.530738347880552
draft,tree_replay,3.59871600498294,4,14.39486401993176
draft,hit_cache_respond,4.867538396252014,1,4.867538396252014
draft,glue,2.0545411428600926,1,2.0545411428600926
draft,draft_glue_replay,1.604549456980903,1,1.604549456980903
draft,tree_prep,0.3553964420618469,1,0.3553964420618469
draft,draft_send_response,0.14421258618807653,1,0.14421258618807653
target,verify_replay,39.79486140407374,1,39.79486140407374
target,target_spec_wait,6.17752556676922,1,6.17752556676922
target,verify_sample_accept,4.832295765274579,1,4.832295765274579
target,target_postprocess,0.0535952897767994,1,0.0535952897767994
