proc,label,mean,median,p95,n
draft,draft_glue_replay,1.615,1.62,1.629,12616
draft,draft_recv_cmd,1.069,0.695,2.622,12618
draft,draft_send_response,0.161,0.183,0.198,12616
draft,glue,2.062,2.065,2.082,12616
draft,hit_cache_respond,3.223,0.643,13.175,12616
draft,tree_prep,0.359,0.111,1.809,88342
draft,tree_replay,5.421,5.463,5.478,88342
target,target_postprocess,0.06,0.044,0.14,12616
target,target_spec_wait,4.57,1.893,14.295,12616
target,verify_replay,39.91,39.85,40.466,12616
target,verify_sample_accept,3.791,3.727,5.14,12616
