proc,label,mean_ms,mult_per_step,ms_per_step
draft,tree_replay,4.637076961666033,4,18.54830784666413
draft,hit_cache_respond,9.16615333460158,1,9.16615333460158
draft,draft_recv_cmd,6.751749386589995,1,6.751749386589995
draft,glue,3.972841149034352,1,3.972841149034352
draft,draft_glue_replay,3.5177634983454933,1,3.5177634983454933
draft,tree_prep,0.3548634399832034,1,0.3548634399832034
draft,draft_send_response,0.14259658781909537,1,0.14259658781909537
target,verify_replay,43.50295496203989,1,43.50295496203989
target,target_spec_wait,10.177557836324,1,10.177557836324
target,verify_sample_accept,2.2745962838253897,1,2.2745962838253897
target,target_postprocess,0.03773100361396975,1,0.03773100361396975
