proc,label,mean,median,p95,n
draft,draft_glue_replay,1.598,1.607,1.616,7699
draft,draft_recv_cmd,3.595,3.419,5.226,7701
draft,draft_send_response,0.184,0.212,0.232,7699
draft,glue,2.682,2.688,2.723,7699
draft,hit_cache_respond,2.577,0.792,9.694,7699
draft,merge_cache,0.043,0.042,0.044,7699
draft,phase1_build,0.156,0.157,0.165,7699
draft,phase1_prep,0.506,0.15,1.881,38515
draft,phase1_replay,2.19,2.172,2.44,38515
draft,phase2_build,1.767,1.751,2.045,7699
draft,phase2_prep,0.476,0.131,1.864,38515
draft,phase2_replay,2.305,2.297,2.551,38515
draft,proxy_wait,10.144,10.115,11.827,7699
target,exit_logits,1.178,1.164,1.404,7699
target,final_logits,0.341,0.34,0.351,7699
target,graph_post,14.378,14.354,14.435,7699
target,graph_pre,22.266,22.207,22.703,7699
target,proxy_compute_send,2.507,2.599,3.212,7699
target,target_postprocess,0.047,0.043,0.067,7699
target,target_spec_wait,3.951,2.127,10.78,7699
target,verify_sample_accept,4.247,4.269,5.122,7699
target,verify_setup,0.352,0.359,0.443,7699
