proc,label,mean,median,p95,n
draft,draft_glue_replay,1.608,1.613,1.625,14363
draft,draft_recv_cmd,13.893,13.749,15.319,14365
draft,draft_send_response,0.155,0.174,0.194,14363
draft,glue,2.054,2.055,2.081,14363
draft,hit_cache_respond,2.309,0.613,9.565,14363
draft,tree_prep,0.369,0.111,1.421,71835
draft,tree_replay,4.547,4.615,4.636,71835
target,target_postprocess,0.062,0.047,0.148,14363
target,target_spec_wait,3.518,1.832,10.572,14363
target,verify_replay,36.022,36.0,36.398,14363
target,verify_sample_accept,4.095,4.013,5.314,14363
