proc,label,mean,median,p95,n
draft,draft_glue_replay,1.591,1.601,1.612,7631
draft,draft_recv_cmd,0.976,0.534,2.131,7633
draft,draft_send_response,0.154,0.17,0.188,7631
draft,glue,2.439,2.444,2.48,7631
draft,hit_cache_respond,2.066,0.595,9.483,7631
draft,merge_cache,0.042,0.042,0.044,7631
draft,phase1_build,0.153,0.155,0.164,7631
draft,phase1_prep,0.38,0.122,1.4,38175
draft,phase1_replay,2.179,2.162,2.44,38175
draft,phase2_build,1.411,1.363,1.602,7631
draft,phase2_prep,0.353,0.104,1.374,38175
draft,phase2_replay,2.294,2.287,2.543,38175
draft,proxy_wait,14.508,14.525,16.494,7631
target,exit_logits,1.41,1.402,1.588,7631
target,final_logits,0.341,0.34,0.352,7631
target,graph_post,11.322,11.326,11.382,7631
target,graph_pre,24.998,25.006,25.326,7631
target,proxy_compute_send,3.131,3.234,4.413,7631
target,target_postprocess,0.04,0.037,0.055,7631
target,target_spec_wait,3.415,1.763,10.493,7631
target,verify_sample_accept,3.429,3.528,3.902,7631
target,verify_setup,0.3,0.283,0.401,7631
