proc,label,mean,median,p95,n
draft,draft_glue_replay,1.61,1.615,1.626,14197
draft,draft_recv_cmd,0.227,0.052,0.06,14199
draft,draft_send_response,0.167,0.18,0.204,14197
draft,glue,2.498,2.498,2.544,14197
draft,hit_cache_respond,1.892,0.647,9.597,14197
draft,merge_cache,0.047,0.047,0.049,14197
draft,phase1_build,0.153,0.154,0.167,14197
draft,phase1_prep,0.404,0.135,1.483,71005
draft,phase1_replay,2.307,2.343,2.526,71005
draft,phase2_build,1.52,1.463,1.725,14197
draft,phase2_prep,0.385,0.117,1.478,71005
draft,phase2_replay,3.495,3.554,3.63,71005
draft,proxy_wait,12.137,12.025,13.808,14197
target,exit_logits,1.483,1.442,1.602,14197
target,final_logits,0.333,0.333,0.341,14197
target,graph_post,11.37,11.376,11.426,14197
target,graph_pre,25.314,25.297,25.553,14197
target,proxy_compute_send,1.313,1.167,2.396,14197
target,target_postprocess,0.049,0.034,0.121,14197
target,target_spec_wait,9.113,8.105,16.889,14197
target,verify_sample_accept,3.288,3.212,4.251,14197
target,verify_setup,0.293,0.316,0.35,14197
