proc,label,mean,median,p95,n
draft,draft_glue_replay,1.598,1.607,1.618,7666
draft,draft_recv_cmd,1.062,0.68,2.226,7668
draft,draft_send_response,0.186,0.209,0.231,7666
draft,glue,2.664,2.669,2.715,7666
draft,hit_cache_respond,2.266,0.791,9.672,7666
draft,merge_cache,0.061,0.06,0.062,7666
draft,phase1_build,0.159,0.161,0.17,7666
draft,phase1_prep,0.496,0.152,1.881,38350
draft,phase1_replay,3.416,3.485,3.594,38350
draft,phase2_build,1.815,1.763,2.071,7666
draft,phase2_prep,0.471,0.132,1.865,38350
draft,phase2_replay,3.452,3.504,3.656,38350
draft,proxy_wait,1.865,1.836,3.198,7666
target,exit_logits,1.198,1.218,1.321,7666
target,final_logits,0.336,0.336,0.34,7666
target,graph_post,16.873,16.889,16.955,7666
target,graph_pre,19.801,19.791,20.134,7666
target,proxy_compute_send,2.779,2.924,3.165,7666
target,target_postprocess,0.051,0.046,0.065,7666
target,target_spec_wait,3.817,2.159,10.806,7666
target,verify_sample_accept,4.802,4.906,5.464,7666
target,verify_setup,0.383,0.404,0.442,7666
