proc,label,mean,median,p95,n
draft,draft_glue_replay,1.614,1.619,1.631,12845
draft,draft_recv_cmd,1.297,0.922,3.502,12847
draft,draft_send_response,0.159,0.18,0.196,12845
draft,glue,2.058,2.061,2.082,12845
draft,hit_cache_respond,3.368,0.632,13.176,12845
draft,tree_prep,0.354,0.111,1.808,89945
draft,tree_replay,5.363,5.408,5.422,89945
target,target_postprocess,0.057,0.041,0.138,12845
target,target_spec_wait,4.611,1.845,14.225,12845
target,verify_replay,39.841,39.785,40.412,12845
target,verify_sample_accept,3.674,3.449,5.424,12845
