proc,label,mean,median,p95,n
draft,draft_glue_replay,3.563,3.568,3.584,14323
draft,draft_recv_cmd,0.224,0.051,0.056,14325
draft,draft_send_response,0.188,0.208,0.223,14323
draft,glue,4.647,4.651,4.676,14323
draft,hit_cache_respond,3.433,0.775,18.516,14323
draft,merge_cache,0.042,0.042,0.044,14323
draft,phase1_build,0.209,0.208,0.224,14323
draft,phase1_prep,0.514,0.165,1.865,71635
draft,phase1_replay,4.193,4.235,4.408,71635
draft,phase2_build,1.765,1.734,2.008,14323
draft,phase2_prep,0.468,0.132,1.825,71635
draft,phase2_replay,4.192,4.265,4.351,71635
draft,proxy_wait,0.046,0.003,0.006,14323
target,exit_logits,0.427,0.393,0.401,14323
target,final_logits,0.368,0.368,0.373,14323
target,graph_post,15.245,15.248,15.294,14323
target,graph_pre,25.678,25.682,25.933,14323
target,proxy_compute_send,0.667,0.657,0.73,14323
target,target_postprocess,0.035,0.024,0.082,14323
target,target_spec_wait,14.067,12.285,30.001,14323
target,verify_sample_accept,2.129,2.087,2.151,14323
target,verify_setup,0.23,0.229,0.239,14323
