status,n,verify_setup_mean_ms,verify_setup_median_ms,graph_pre_mean_ms,graph_pre_median_ms,exit_logits_mean_ms,exit_logits_median_ms,proxy_compute_send_mean_ms,proxy_compute_send_median_ms,graph_post_mean_ms,graph_post_median_ms,verify_replay_mean_ms,verify_replay_median_ms,final_logits_mean_ms,final_logits_median_ms,verify_sample_accept_mean_ms,verify_sample_accept_median_ms,target_postprocess_mean_ms,target_postprocess_median_ms
hit,16476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.23203807978064,39.24787139892578,0.0,0.0,5.32617055196211,5.415776014328003,0.1014733517839356,0.07344000041484833
miss,8967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.51638143825946,39.556095123291016,0.0,0.0,4.8003945209462335,4.8924479484558105,0.07879362815977127,0.04927999898791313
