proc,label,mean,median,p95,n
draft,draft_glue_replay,1.593,1.599,1.616,9343
draft,draft_recv_cmd,8.373,8.158,9.573,9345
draft,draft_send_response,0.16,0.178,0.195,9343
draft,glue,2.467,2.471,2.51,9343
draft,hit_cache_respond,1.395,0.612,5.919,9343
draft,merge_cache,0.037,0.036,0.043,9343
draft,phase1_build,0.143,0.144,0.154,9343
draft,phase1_prep,0.439,0.126,1.095,28039
draft,phase1_replay,1.806,1.831,1.962,28039
draft,phase2_build,1.395,1.384,1.619,9343
draft,phase2_prep,0.43,0.111,1.085,28039
draft,phase2_replay,2.312,2.308,2.589,28039
draft,proxy_wait,14.731,14.65,15.83,9343
target,exit_logits,1.109,1.046,1.262,9343
target,final_logits,0.329,0.329,0.333,9343
target,graph_post,13.098,13.09,13.16,9343
target,graph_pre,20.212,20.143,20.844,9343
target,proxy_compute_send,2.051,2.077,2.915,9343
target,target_postprocess,0.044,0.04,0.06,9343
target,target_spec_wait,2.653,1.809,6.925,9343
target,verify_sample_accept,4.103,4.012,4.868,9343
target,verify_setup,0.355,0.353,0.469,9343
