proc,label,mean,median,p95,n
draft,draft_glue_replay,1.611,1.617,1.631,12822
draft,draft_recv_cmd,15.388,15.269,17.254,12824
draft,draft_send_response,0.147,0.181,0.199,12822
draft,glue,2.061,2.062,2.087,12822
draft,hit_cache_respond,4.713,0.642,13.167,12822
draft,tree_prep,0.355,0.113,1.785,89784
draft,tree_replay,3.543,3.623,3.644,89784
target,target_postprocess,0.06,0.045,0.146,12822
target,target_spec_wait,5.957,1.899,14.215,12822
target,verify_replay,39.868,39.828,40.348,12822
target,verify_sample_accept,4.322,4.282,5.353,12822
