config,k,total_tps,decode_tps,avg_tok_step,accept,cache_hit,p1_hit,p2_hit,p1_len,p2_len,p1_ratio,p2_ratio,target_verify_ms,draft_ms
"K1=7,K2=5,dfo=2,pfo=1",12,77.74,80.16,4.01,0.43,0.82,0.604,0.218,3.66,1.95,0.523,0.391,45.07,46.65
"K1=7,K2=7,dfo=2,pfo=1",14,72.68,74.79,4.09,0.44,0.81,0.587,0.221,3.66,2.26,0.523,0.323,47.45,53.04
