proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase2_replay,4.628868325013953,4,18.515473300055813
draft,phase1_replay,3.8458461014285046,4,15.383384405714018
draft,glue,4.38370356048095,1,4.38370356048095
draft,phase2_build,1.4382034207953782,1,1.4382034207953782
draft,phase1_prep,0.4330207425010995,1,0.4330207425010995
draft,phase2_prep,0.41429373388028645,1,0.41429373388028645
draft,phase1_build,0.18148606862933908,1,0.18148606862933908
draft,proxy_wait,0.1332298779807917,1,0.1332298779807917
draft,merge_cache,0.03717913669874078,1,0.03717913669874078
target,graph_pre,20.450765483247896,1,20.450765483247896
target,graph_post,17.233169157707568,1,17.233169157707568
target,verify_sample_accept,2.0836108258513155,1,2.0836108258513155
target,proxy_compute_send,0.6504952604431331,1,0.6504952604431331
target,final_logits,0.42742767201628307,1,0.42742767201628307
target,exit_logits,0.42046492985392825,1,0.42046492985392825
target,verify_setup,0.2292039572259886,1,0.2292039572259886
