proc,label,mean,median,p95,n
draft,draft_glue_replay,1.591,1.601,1.612,7704
draft,draft_recv_cmd,0.323,0.048,0.075,7706
draft,draft_send_response,0.159,0.176,0.198,7704
draft,glue,2.476,2.478,2.521,7704
draft,hit_cache_respond,2.199,0.633,9.505,7704
draft,merge_cache,0.052,0.051,0.053,7704
draft,phase1_build,0.156,0.158,0.171,7704
draft,phase1_prep,0.407,0.128,1.433,38540
draft,phase1_replay,2.177,2.16,2.437,38540
draft,phase2_build,1.441,1.42,1.707,7704
draft,phase2_prep,0.373,0.11,1.428,38540
draft,phase2_replay,3.44,3.493,3.642,38540
draft,proxy_wait,11.086,11.1,12.827,7704
target,exit_logits,1.141,1.108,1.362,7704
target,final_logits,0.337,0.336,0.343,7704
target,graph_post,14.325,14.301,14.398,7704
target,graph_pre,22.672,22.578,23.291,7704
target,proxy_compute_send,2.311,2.41,3.139,7704
target,target_postprocess,0.046,0.042,0.064,7704
target,target_spec_wait,5.206,3.806,12.867,7704
target,verify_sample_accept,4.071,3.989,4.939,7704
target,verify_setup,0.323,0.326,0.408,7704
