proc,label,mean,median,p95,n
draft,draft_glue_replay,1.611,1.616,1.627,13587
draft,draft_recv_cmd,4.847,4.68,6.457,13589
draft,draft_send_response,0.155,0.174,0.188,13587
draft,glue,2.058,2.059,2.083,13587
draft,hit_cache_respond,2.628,0.617,11.355,13587
draft,tree_prep,0.36,0.11,1.614,81547
draft,tree_replay,5.425,5.465,5.481,81547
target,target_postprocess,0.056,0.043,0.136,13587
target,target_spec_wait,3.803,1.785,12.307,13587
target,verify_replay,37.853,37.829,38.402,13587
target,verify_sample_accept,3.805,3.761,5.179,13587
