proc,label,mean,median,p95,n
draft,draft_glue_replay,1.595,1.605,1.616,7778
draft,draft_recv_cmd,7.654,7.438,9.169,7780
draft,draft_send_response,0.15,0.175,0.197,7778
draft,glue,2.473,2.477,2.515,7778
draft,hit_cache_respond,2.734,0.591,9.512,7778
draft,merge_cache,0.046,0.045,0.051,7778
draft,phase1_build,0.157,0.158,0.164,7778
draft,phase1_prep,0.399,0.126,1.453,38910
draft,phase1_replay,2.186,2.168,2.443,38910
draft,phase2_build,1.379,1.33,1.551,7778
draft,phase2_prep,0.364,0.11,1.418,38910
draft,phase2_replay,2.303,2.296,2.553,38910
draft,proxy_wait,8.317,8.316,9.931,7778
target,exit_logits,1.157,1.162,1.319,7778
target,final_logits,0.328,0.328,0.332,7778
target,graph_post,16.951,16.962,17.034,7778
target,graph_pre,19.53,19.514,19.885,7778
target,proxy_compute_send,2.534,2.643,3.124,7778
target,target_postprocess,0.049,0.044,0.066,7778
target,target_spec_wait,4.045,1.852,10.563,7778
target,verify_sample_accept,4.58,4.605,5.429,7778
target,verify_setup,0.364,0.385,0.433,7778
