proc,label,mean,median,p95,n
draft,draft_glue_replay,1.597,1.607,1.615,7443
draft,draft_recv_cmd,4.566,4.342,5.972,7445
draft,draft_send_response,0.16,0.181,0.202,7443
draft,glue,2.479,2.483,2.52,7443
draft,hit_cache_respond,2.352,0.625,9.544,7443
draft,merge_cache,0.043,0.042,0.046,7443
draft,phase1_build,0.149,0.15,0.164,7443
draft,phase1_prep,0.396,0.127,1.457,37235
draft,phase1_replay,2.188,2.169,2.447,37235
draft,phase2_build,1.48,1.42,1.7,7443
draft,phase2_prep,0.373,0.11,1.438,37235
draft,phase2_replay,2.303,2.297,2.553,37235
draft,proxy_wait,12.433,12.545,14.067,7443
target,exit_logits,1.2,1.225,1.352,7443
target,final_logits,0.343,0.343,0.352,7443
target,graph_post,14.327,14.33,14.387,7443
target,graph_pre,22.411,22.291,23.186,7443
target,proxy_compute_send,3.879,4.269,4.443,7443
target,target_postprocess,0.045,0.04,0.065,7443
target,target_spec_wait,3.629,1.823,10.535,7443
target,verify_sample_accept,4.328,4.412,4.887,7443
target,verify_setup,0.34,0.355,0.4,7443
