proc,label,mean,median,p95,n
draft,draft_glue_replay,1.59,1.601,1.61,7605
draft,draft_recv_cmd,4.889,4.665,6.332,7607
draft,draft_send_response,0.152,0.17,0.188,7605
draft,glue,2.447,2.45,2.487,7605
draft,hit_cache_respond,2.206,0.565,9.467,7605
draft,merge_cache,0.043,0.042,0.048,7605
draft,phase1_build,0.148,0.147,0.162,7605
draft,phase1_prep,0.396,0.122,1.413,38045
draft,phase1_replay,2.18,2.162,2.44,38045
draft,phase2_build,1.352,1.336,1.585,7605
draft,phase2_prep,0.362,0.105,1.408,38045
draft,phase2_replay,2.294,2.287,2.543,38045
draft,proxy_wait,12.388,12.422,14.194,7605
target,exit_logits,1.189,1.209,1.389,7605
target,final_logits,0.341,0.341,0.35,7605
target,graph_post,14.311,14.313,14.377,7605
target,graph_pre,22.118,22.094,22.457,7605
target,proxy_compute_send,3.941,4.255,4.74,7605
target,target_postprocess,0.045,0.041,0.063,7605
target,target_spec_wait,3.475,1.763,10.482,7605
target,verify_sample_accept,4.397,4.546,5.033,7605
target,verify_setup,0.352,0.367,0.424,7605
