proc,label,mean,median,p95,n
draft,draft_glue_replay,1.607,1.612,1.621,15459
draft,draft_recv_cmd,2.226,1.964,3.673,15461
draft,draft_send_response,0.167,0.182,0.203,15459
draft,glue,2.484,2.481,2.527,15459
draft,hit_cache_respond,1.617,0.636,7.762,15459
draft,merge_cache,0.037,0.037,0.038,15459
draft,phase1_build,0.145,0.144,0.158,15459
draft,phase1_prep,0.414,0.131,1.29,61851
draft,phase1_replay,2.262,2.309,2.486,61851
draft,phase2_build,1.41,1.386,1.694,15459
draft,phase2_prep,0.399,0.114,1.28,61851
draft,phase2_replay,2.374,2.452,2.542,61851
draft,proxy_wait,13.892,13.794,15.504,15459
target,exit_logits,1.498,1.442,1.65,15459
target,final_logits,0.339,0.338,0.349,15459
target,graph_post,10.856,10.851,10.908,15459
target,graph_pre,23.999,23.955,24.551,15459
target,proxy_compute_send,1.334,1.141,2.48,15459
target,target_postprocess,0.049,0.035,0.126,15459
target,target_spec_wait,2.765,1.741,8.648,15459
target,verify_sample_accept,3.29,3.194,4.096,15459
target,verify_setup,0.296,0.283,0.404,15459
