proc,label,mean,median,p95,n
draft,draft_glue_replay,1.596,1.605,1.614,7498
draft,draft_recv_cmd,0.301,0.049,0.057,7500
draft,draft_send_response,0.166,0.18,0.197,7498
draft,glue,2.474,2.476,2.512,7498
draft,hit_cache_respond,1.878,0.636,9.541,7498
draft,merge_cache,0.061,0.06,0.062,7498
draft,phase1_build,0.158,0.16,0.171,7498
draft,phase1_prep,0.42,0.139,1.523,37510
draft,phase1_replay,3.414,3.485,3.594,37510
draft,phase2_build,1.561,1.474,1.722,7498
draft,phase2_prep,0.393,0.118,1.506,37510
draft,phase2_replay,3.453,3.506,3.656,37510
draft,proxy_wait,4.417,4.482,6.08,7498
target,exit_logits,1.09,1.09,1.256,7498
target,final_logits,0.332,0.332,0.338,7498
target,graph_post,14.304,14.316,14.373,7498
target,graph_pre,22.669,22.655,23.032,7498
target,proxy_compute_send,2.177,2.257,3.062,7498
target,target_postprocess,0.046,0.041,0.065,7498
target,target_spec_wait,5.468,4.371,13.23,7498
target,verify_sample_accept,3.804,3.748,4.792,7498
target,verify_setup,0.313,0.308,0.402,7498
