proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase2_replay,3.452871782599815,4,13.81148713039926
draft,phase1_replay,3.414103274973384,4,13.656413099893536
draft,proxy_wait,4.417148825243053,1,4.417148825243053
draft,glue,2.4743829222480977,1,2.4743829222480977
draft,hit_cache_respond,1.8775739993062392,1,1.8775739993062392
draft,draft_glue_replay,1.5957958412412072,1,1.5957958412412072
draft,phase2_build,1.5612652641386946,1,1.5612652641386946
draft,phase1_prep,0.41951745683846237,1,0.41951745683846237
draft,phase2_prep,0.39319583781816364,1,0.39319583781816364
draft,draft_recv_cmd,0.300528870366017,1,0.300528870366017
draft,draft_send_response,0.16589451604193609,1,0.16589451604193609
draft,phase1_build,0.157934178045493,1,0.157934178045493
draft,merge_cache,0.06070872493511551,1,0.06070872493511551
target,graph_pre,22.668539982600095,1,22.668539982600095
target,graph_post,14.304351835004105,1,14.304351835004105
target,target_spec_wait,5.4675882286502695,1,5.4675882286502695
target,verify_sample_accept,3.803969690818156,1,3.803969690818156
target,proxy_compute_send,2.176762811372553,1,2.176762811372553
target,exit_logits,1.0898960795155141,1,1.0898960795155141
target,final_logits,0.3324028521927238,1,0.3324028521927238
target,verify_setup,0.31310570303218527,1,0.31310570303218527
target,target_postprocess,0.04556137208361551,1,0.04556137208361551
