arm,raw_outside_verify_ms,raw_target_step_ms,raw_target_verify_ms,repeat,turns,verify_steps
chain,6.869117214834979,67.94321186261834,61.07409464778336,1,7,393
chain,6.9084925362396135,68.03201903171339,61.123526495473776,2,7,393
chain,6.538487846057919,67.52488102684273,60.986393180784816,3,7,393
full_tree,10.323787686241857,72.72652187582237,62.402734189580514,1,7,436
full_tree,9.140338087953374,71.5105344033492,62.37019631539582,2,7,436
full_tree,10.612790311673926,73.07380565334492,62.46101534167099,3,7,436
p2_tree,7.484878418973885,69.13554392704178,61.650665508067895,1,7,441
p2_tree,7.314573556699585,68.70476173642604,61.39018817972645,2,7,441
p2_tree,8.210758151622514,69.95008887805112,61.739330726428605,3,7,441
