proc,label,mean_ms,mult_per_step,ms_per_step
draft,tree_replay,6.6082764702751575,4,26.43310588110063
draft,hit_cache_respond,3.1222637488032197,1,3.1222637488032197
draft,glue,2.0888684995407574,1,2.0888684995407574
draft,draft_glue_replay,1.621666136203808,1,1.621666136203808
draft,tree_prep,0.38961335102645206,1,0.38961335102645206
draft,draft_send_response,0.1694553359313419,1,0.1694553359313419
draft,draft_recv_cmd,0.1537715524950911,1,0.1537715524950911
target,verify_replay,39.913781481774194,1,39.913781481774194
target,target_spec_wait,12.805731725154246,1,12.805731725154246
target,verify_sample_accept,3.5258761387545965,1,3.5258761387545965
target,target_postprocess,0.05692942294621339,1,0.05692942294621339
