proc,label,mean,median,p95,n
draft,draft_glue_replay,1.622,1.627,1.636,12751
draft,draft_recv_cmd,0.154,0.054,0.065,12753
draft,draft_send_response,0.169,0.185,0.223,12751
draft,glue,2.089,2.078,2.172,12751
draft,hit_cache_respond,3.122,0.683,13.257,12751
draft,tree_prep,0.39,0.117,1.918,89287
draft,tree_replay,6.608,6.648,6.663,89287
target,target_postprocess,0.057,0.041,0.14,12751
target,target_spec_wait,12.806,10.695,23.302,12751
target,verify_replay,39.914,39.853,40.46,12751
target,verify_sample_accept,3.526,3.374,5.028,12751
