proc,label,mean,median,p95,n
draft,draft_glue_replay,3.552,3.556,3.574,14383
draft,draft_recv_cmd,0.235,0.048,0.052,14385
draft,draft_send_response,0.162,0.176,0.191,14383
draft,glue,4.431,4.435,4.462,14383
draft,hit_cache_respond,2.993,0.609,18.379,14383
draft,merge_cache,0.042,0.042,0.044,14383
draft,phase1_build,0.232,0.232,0.25,14383
draft,phase1_prep,0.41,0.141,1.428,71935
draft,phase1_replay,4.2,4.236,4.414,71935
draft,phase2_build,1.369,1.338,1.553,14383
draft,phase2_prep,0.362,0.109,1.392,71935
draft,phase2_replay,4.199,4.271,4.363,71935
draft,proxy_wait,2.358,2.18,3.936,14383
target,exit_logits,0.402,0.401,0.41,14383
target,final_logits,0.426,0.411,0.417,14383
target,graph_post,11.966,11.969,12.007,14383
target,graph_pre,28.975,28.964,29.19,14383
target,proxy_compute_send,0.657,0.648,0.722,14383
target,target_postprocess,0.034,0.023,0.079,14383
target,target_spec_wait,14.064,12.106,29.683,14383
target,verify_sample_accept,2.118,2.076,2.14,14383
target,verify_setup,0.229,0.227,0.237,14383
