proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase1_replay,4.199699234645942,4,16.798796938583767
draft,phase2_replay,4.199053962528809,4,16.796215850115235
draft,glue,4.4306201055601395,1,4.4306201055601395
draft,draft_glue_replay,3.551538412837668,1,3.551538412837668
draft,hit_cache_respond,2.9927345954608513,1,2.9927345954608513
draft,proxy_wait,2.358444079062907,1,2.358444079062907
draft,phase2_build,1.3687042391599407,1,1.3687042391599407
draft,phase1_prep,0.409918793891219,1,0.409918793891219
draft,phase2_prep,0.3620727112695814,1,0.3620727112695814
draft,draft_recv_cmd,0.23538986511209958,1,0.23538986511209958
draft,phase1_build,0.23169140902180868,1,0.23169140902180868
draft,draft_send_response,0.16216390376100784,1,0.16216390376100784
draft,merge_cache,0.042159286304932264,1,0.042159286304932264
target,graph_pre,28.975222860963687,1,28.975222860963687
target,target_spec_wait,14.06423180890516,1,14.06423180890516
target,graph_post,11.965506644886492,1,11.965506644886492
target,verify_sample_accept,2.117543641196283,1,2.117543641196283
target,proxy_compute_send,0.6572006358242843,1,0.6572006358242843
target,final_logits,0.42626465261417645,1,0.42626465261417645
target,exit_logits,0.4020164323986086,1,0.4020164323986086
target,verify_setup,0.22859212037154913,1,0.22859212037154913
target,target_postprocess,0.033899433507832616,1,0.033899433507832616
