proc,label,mean,median,p95,n
draft,draft_glue_replay,1.73,1.74,1.749,6652
draft,draft_recv_cmd,0.183,0.055,0.062,6654
draft,draft_send_response,0.16,0.185,0.207,6652
draft,glue,2.222,2.191,2.217,6652
draft,hit_cache_respond,4.212,0.665,14.978,6652
draft,tree_prep,0.359,0.12,2.051,53251
draft,tree_replay,6.564,6.618,6.634,53251
target,target_postprocess,0.038,0.034,0.052,6652
target,target_spec_wait,19.081,15.969,30.185,6652
target,verify_replay,41.978,41.885,42.475,6652
target,verify_sample_accept,3.082,3.011,4.018,6652
