proc,label,mean,median,p95,n
draft,draft_glue_replay,3.501,3.505,3.519,14524
draft,draft_recv_cmd,0.223,0.048,0.054,14526
draft,draft_send_response,0.156,0.174,0.191,14524
draft,glue,4.373,4.375,4.418,14524
draft,hit_cache_respond,3.707,0.622,18.346,14524
draft,merge_cache,0.042,0.042,0.044,14524
draft,phase1_build,0.155,0.156,0.163,14524
draft,phase1_prep,0.38,0.113,1.445,72640
draft,phase1_replay,4.143,4.217,4.322,72640
draft,phase2_build,1.387,1.352,1.579,14524
draft,phase2_prep,0.365,0.106,1.415,72640
draft,phase2_replay,4.163,4.235,4.323,72640
draft,proxy_wait,0.034,0.002,0.003,14524
target,exit_logits,0.361,0.328,0.34,14524
target,final_logits,0.327,0.327,0.332,14524
target,graph_post,9.364,9.368,9.418,14524
target,graph_pre,12.048,11.996,12.559,14524
target,proxy_compute_send,0.72,0.699,0.861,14524
target,target_postprocess,0.037,0.026,0.09,14524
target,target_spec_wait,30.701,28.515,46.161,14524
target,verify_sample_accept,2.383,2.195,2.88,14524
target,verify_setup,0.255,0.234,0.319,14524
