proc,label,mean,median,p95,n
draft,draft_glue_replay,3.548,3.553,3.571,13300
draft,draft_recv_cmd,0.243,0.051,0.057,13302
draft,draft_send_response,0.179,0.205,0.227,13300
draft,glue,4.604,4.616,4.657,13300
draft,hit_cache_respond,5.002,0.771,22.069,13300
draft,merge_cache,0.044,0.044,0.045,13300
draft,phase1_build,0.187,0.187,0.203,13300
draft,phase1_prep,0.465,0.154,2.091,79825
draft,phase1_replay,3.844,3.854,3.959,79825
draft,phase2_build,1.681,1.697,1.778,13300
draft,phase2_prep,0.444,0.13,2.07,79825
draft,phase2_replay,4.225,4.293,4.366,79825
draft,proxy_wait,0.047,0.003,0.005,13300
target,exit_logits,0.438,0.392,0.403,13300
target,final_logits,0.39,0.39,0.394,13300
target,graph_post,18.971,18.977,19.034,13300
target,graph_pre,22.585,22.581,22.752,13300
target,proxy_compute_send,0.75,0.755,0.851,13300
target,target_postprocess,0.038,0.025,0.095,13300
target,target_spec_wait,21.757,18.336,39.62,13300
target,verify_sample_accept,2.257,2.223,2.334,13300
target,verify_setup,0.23,0.226,0.245,13300
