proc,label,mean,median,p95,n
draft,draft_glue_replay,1.602,1.607,1.618,14478
draft,draft_recv_cmd,14.446,14.307,16.014,14480
draft,draft_send_response,0.155,0.176,0.196,14478
draft,glue,2.068,2.053,2.081,14478
draft,hit_cache_respond,2.411,0.613,9.542,14478
draft,tree_prep,0.37,0.112,1.419,72410
draft,tree_replay,4.482,4.562,4.577,72410
target,target_postprocess,0.063,0.047,0.151,14478
target,target_spec_wait,3.638,1.853,10.566,14478
target,verify_replay,36.088,36.081,36.472,14478
target,verify_sample_accept,4.167,4.108,5.389,14478
