proc,label,mean,median,p95,n
draft,draft_glue_replay,1.615,1.62,1.63,13353
draft,draft_recv_cmd,0.235,0.053,0.059,13355
draft,draft_send_response,0.196,0.218,0.24,13353
draft,glue,2.705,2.706,2.747,13353
draft,hit_cache_respond,2.501,0.818,11.535,13353
draft,merge_cache,0.05,0.05,0.051,13353
draft,phase1_build,0.161,0.162,0.171,13353
draft,phase1_prep,0.483,0.154,2.148,80143
draft,phase1_replay,2.334,2.36,2.542,80143
draft,phase2_build,1.849,1.804,2.121,13353
draft,phase2_prep,0.464,0.133,2.134,80143
draft,phase2_replay,2.449,2.507,2.579,80143
draft,proxy_wait,9.608,9.401,11.563,13353
target,exit_logits,1.49,1.432,1.611,13353
target,final_logits,0.347,0.346,0.356,13353
target,graph_post,11.897,11.905,11.956,13353
target,graph_pre,26.623,26.641,26.849,13353
target,proxy_compute_send,1.278,1.16,2.253,13353
target,target_postprocess,0.048,0.033,0.119,13353
target,target_spec_wait,8.135,6.793,17.451,13353
target,verify_sample_accept,3.037,2.893,3.7,13353
target,verify_setup,0.263,0.248,0.367,13353
