proc,label,mean,median,p95,n
draft,draft_glue_replay,1.591,1.599,1.615,7650
draft,draft_recv_cmd,0.711,0.065,1.84,7652
draft,draft_send_response,0.159,0.177,0.196,7650
draft,glue,2.45,2.456,2.486,7650
draft,hit_cache_respond,2.183,0.621,9.523,7650
draft,merge_cache,0.042,0.042,0.044,7650
draft,phase1_build,0.15,0.151,0.163,7650
draft,phase1_prep,0.4,0.125,1.418,38270
draft,phase1_replay,2.181,2.164,2.441,38270
draft,phase2_build,1.36,1.34,1.578,7650
draft,phase2_prep,0.363,0.108,1.398,38270
draft,phase2_replay,2.298,2.291,2.546,38270
draft,proxy_wait,12.619,12.599,14.203,7650
target,exit_logits,1.473,1.452,1.623,7650
target,final_logits,0.339,0.339,0.35,7650
target,graph_post,11.336,11.339,11.396,7650
target,graph_pre,25.099,25.081,25.566,7650
target,proxy_compute_send,1.219,1.028,2.334,7650
target,target_postprocess,0.034,0.031,0.047,7650
target,target_spec_wait,3.733,1.993,10.998,7650
target,verify_sample_accept,3.135,3.078,3.998,7650
target,verify_setup,0.288,0.275,0.385,7650
