proc,label,mean,median,p95,n
draft,draft_glue_replay,1.592,1.608,1.619,1282
draft,draft_recv_cmd,20.655,20.242,22.259,1284
draft,draft_send_response,0.128,0.17,0.185,1282
draft,glue,2.036,2.048,2.073,1282
draft,hit_cache_respond,4.064,0.623,9.562,1282
draft,tree_prep,0.358,0.106,1.371,6430
draft,tree_replay,3.315,3.323,3.586,6430
target,target_postprocess,0.037,0.037,0.052,1282
target,target_spec_wait,5.17,1.849,10.57,1282
target,verify_replay,36.16,36.072,36.836,1282
target,verify_sample_accept,4.062,4.005,5.358,1282
