proc,label,mean,median,p95,n
draft,draft_glue_replay,1.595,1.605,1.613,7749
draft,draft_recv_cmd,0.316,0.047,0.292,7751
draft,draft_send_response,0.156,0.172,0.189,7749
draft,glue,2.474,2.473,2.502,7749
draft,hit_cache_respond,2.094,0.611,9.516,7749
draft,merge_cache,0.052,0.052,0.053,7749
draft,phase1_build,0.16,0.161,0.169,7749
draft,phase1_prep,0.389,0.125,1.433,38765
draft,phase1_replay,3.349,3.314,3.541,38765
draft,phase2_build,1.372,1.356,1.595,7749
draft,phase2_prep,0.369,0.108,1.419,38765
draft,phase2_replay,3.401,3.372,3.621,38765
draft,proxy_wait,4.361,4.233,6.085,7749
target,exit_logits,1.088,1.069,1.286,7749
target,final_logits,0.341,0.339,0.344,7749
target,graph_post,14.342,14.32,14.391,7749
target,graph_pre,22.609,22.562,23.026,7749
target,proxy_compute_send,1.67,1.546,2.906,7749
target,target_postprocess,0.04,0.037,0.057,7749
target,target_spec_wait,5.282,4.015,13.166,7749
target,verify_sample_accept,3.674,3.424,5.235,7749
target,verify_setup,0.313,0.305,0.46,7749
