proc,label,mean,median,p95,n
draft,draft_glue_replay,1.611,1.62,1.635,6938
draft,draft_recv_cmd,22.335,22.119,24.719,6940
draft,draft_send_response,0.142,0.183,0.226,6938
draft,glue,2.097,2.079,2.176,6938
draft,hit_cache_respond,6.383,0.858,13.35,6938
draft,tree_prep,0.401,0.123,2.253,48596
draft,tree_replay,2.39,2.458,2.595,48596
target,target_postprocess,0.04,0.036,0.058,6938
target,target_spec_wait,7.588,2.236,14.423,6938
target,verify_replay,40.09,39.895,41.25,6938
target,verify_sample_accept,3.719,3.6,5.117,6938
