proc,label,mean,median,p95,n
draft,draft_glue_replay,1.59,1.598,1.61,7606
draft,draft_recv_cmd,0.351,0.048,0.603,7608
draft,draft_send_response,0.155,0.178,0.198,7606
draft,glue,2.475,2.48,2.513,7606
draft,hit_cache_respond,2.582,0.628,9.526,7606
draft,merge_cache,0.043,0.043,0.044,7606
draft,phase1_build,0.151,0.153,0.162,7606
draft,phase1_prep,0.384,0.126,1.428,38050
draft,phase1_replay,1.794,1.822,1.94,38050
draft,phase2_build,1.442,1.394,1.648,7606
draft,phase2_prep,0.37,0.108,1.425,38050
draft,phase2_replay,3.382,3.354,3.607,38050
draft,proxy_wait,13.113,13.197,14.326,7606
target,exit_logits,1.156,1.167,1.337,7606
target,final_logits,0.339,0.338,0.347,7606
target,graph_post,14.372,14.341,14.451,7606
target,graph_pre,22.511,22.472,22.942,7606
target,proxy_compute_send,2.488,2.663,3.163,7606
target,target_postprocess,0.046,0.042,0.065,7606
target,target_spec_wait,5.154,3.452,12.545,7606
target,verify_sample_accept,4.118,4.054,4.964,7606
target,verify_setup,0.329,0.337,0.417,7606
