proc,label,mean,median,p95,n
draft,draft_glue_replay,1.602,1.606,1.62,15598
draft,draft_recv_cmd,4.269,4.078,5.407,15600
draft,draft_send_response,0.161,0.18,0.202,15598
draft,glue,2.482,2.472,2.53,15598
draft,hit_cache_respond,1.846,0.632,7.751,15598
draft,merge_cache,0.034,0.034,0.04,15598
draft,phase1_build,0.139,0.135,0.153,15598
draft,phase1_prep,0.412,0.126,1.283,62407
draft,phase1_replay,2.266,2.307,2.501,62407
draft,phase2_build,1.393,1.356,1.704,15598
draft,phase2_prep,0.399,0.111,1.275,62407
draft,phase2_replay,1.925,1.958,2.015,62407
draft,proxy_wait,14.111,14.021,15.688,15598
target,exit_logits,1.531,1.462,1.67,15598
target,final_logits,0.342,0.342,0.355,15598
target,graph_post,10.887,10.877,10.942,15598
target,graph_pre,24.009,23.982,24.544,15598
target,proxy_compute_send,1.446,1.281,2.598,15598
target,target_postprocess,0.051,0.036,0.133,15598
target,target_spec_wait,3.002,1.752,8.674,15598
target,verify_sample_accept,3.454,3.41,4.352,15598
target,verify_setup,0.319,0.311,0.463,15598
