proc,label,mean,median,p95,n
draft,draft_glue_replay,1.617,1.623,1.631,12150
draft,draft_recv_cmd,1.141,0.918,2.471,12152
draft,draft_send_response,0.163,0.183,0.2,12150
draft,glue,2.061,2.065,2.084,12150
draft,hit_cache_respond,3.068,0.62,13.17,12150
draft,tree_prep,0.36,0.112,1.818,85080
draft,tree_replay,5.446,5.492,5.506,85080
target,target_postprocess,0.063,0.048,0.148,12150
target,target_spec_wait,4.433,1.893,14.268,12150
target,verify_replay,39.55,39.519,40.044,12150
target,verify_sample_accept,4.267,4.184,5.47,12150
