arm,source,events,questions,event_pooled_al,question_mean_al,ci95_low,ci95_high,p_al_eq_1,p_al_ge_3,p_al_ge_5,mean_valid_k
chain,Miss (fresh JIT),648,30,3.1496913580246915,3.651906823049309,3.0995890034576425,4.295346240495395,0.3425925925925926,0.4521604938271605,0.2345679012345679,8.0
chain,P1,1993,30,4.610637230306072,4.890809542477092,4.373360026078342,5.443463141019869,0.22378324134470648,0.6221776216758655,0.4315102860010035,8.0
chain,P2,652,30,3.5383435582822087,4.314362963527079,3.701446563802454,4.999575072215116,0.28680981595092025,0.5,0.2852760736196319,8.0
tree,Miss (fresh JIT),619,30,3.3651050080775446,3.6735407193434653,3.049100602554144,4.394183872161594,0.32310177705977383,0.4894991922455573,0.25040387722132473,8.0
tree,P1,1891,30,5.383923849814913,5.463049914533699,4.894939041639602,6.051748957781039,0.12109994711792703,0.7493389740877843,0.5367530407191962,12.0
tree,P2,577,29,3.9150779896013863,4.196721797256883,3.740587703530406,4.742819375862058,0.1663778162911612,0.6793760831889082,0.292894280762565,13.79896013864818
