contrast,questions,mean_difference,ci95_low,ci95_high,fraction_questions_below_zero,arm
P2 - P1,30,-0.5764465789500125,-1.0492883179915067,-0.13349066254281933,0.7333333333333333,chain
Miss (fresh JIT) - P1,30,-1.2389027194277824,-1.8686442861587904,-0.6576007739610116,0.7666666666666667,chain
P2 - Miss (fresh JIT),30,0.66245614047777,0.09559502996524363,1.320146457968028,0.3333333333333333,chain
P2 - P1,29,-1.1769831469485281,-1.8198479177664293,-0.5569928473162038,0.7586206896551724,tree
Miss (fresh JIT) - P1,30,-1.789509195190234,-2.5819899246179063,-1.013997771328861,0.9,tree
P2 - Miss (fresh JIT),29,0.7068520875912292,0.29688877782288675,1.1505237588461594,0.27586206896551724,tree
