arm,repeat,target_step_ms,target_verify_ms,outside_verify_ms,verify_steps
chain,1,66.74216138422146,60.9398471329565,5.80231425126496,393
chain,2,67.81926065377091,61.438240058146626,6.381020595624285,393
full_tree,1,71.39291728732968,62.278413801473235,9.114503485856446,436
full_tree,2,71.23788133867657,62.405196828084115,8.832684510592458,436
p2_tree,1,68.2491203699016,61.41584903126384,6.833271338637765,441
p2_tree,2,68.34784677849389,61.462745707705956,6.8851010707879325,441
