proc,label,mean,median,p95,n
draft,draft_glue_replay,1.596,1.606,1.617,7494
draft,draft_recv_cmd,0.287,0.047,0.057,7496
draft,draft_send_response,0.162,0.175,0.196,7494
draft,glue,2.461,2.465,2.506,7494
draft,hit_cache_respond,1.803,0.618,9.523,7494
draft,merge_cache,0.061,0.06,0.062,7494
draft,phase1_build,0.163,0.165,0.172,7494
draft,phase1_prep,0.384,0.129,1.43,37490
draft,phase1_replay,3.42,3.487,3.599,37490
draft,phase2_build,1.488,1.443,1.707,7494
draft,phase2_prep,0.367,0.109,1.414,37490
draft,phase2_replay,3.456,3.506,3.659,37490
draft,proxy_wait,6.477,6.67,8.065,7494
target,exit_logits,1.219,1.24,1.483,7494
target,final_logits,0.336,0.336,0.342,7494
target,graph_post,14.294,14.304,14.365,7494
target,graph_pre,22.606,22.589,23.003,7494
target,proxy_compute_send,3.934,4.372,4.591,7494
target,target_postprocess,0.047,0.043,0.062,7494
target,target_spec_wait,4.887,3.79,12.551,7494
target,verify_sample_accept,4.041,4.024,4.861,7494
target,verify_setup,0.341,0.347,0.435,7494
