proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase2_replay,3.4555419152944875,4,13.82216766117795
draft,phase1_replay,3.419700111920562,4,13.678800447682248
draft,proxy_wait,6.476502259124861,1,6.476502259124861
draft,glue,2.4605271599278122,1,2.4605271599278122
draft,hit_cache_respond,1.8026032177788562,1,1.8026032177788562
draft,draft_glue_replay,1.5962964426144493,1,1.5962964426144493
draft,phase2_build,1.4881097339680267,1,1.4881097339680267
draft,phase1_prep,0.3839550958842508,1,0.3839550958842508
draft,phase2_prep,0.3671358450533756,1,0.3671358450533756
draft,draft_recv_cmd,0.2871589530880584,1,0.2871589530880584
draft,phase1_build,0.16285590007642697,1,0.16285590007642697
draft,draft_send_response,0.1620566641958095,1,0.1620566641958095
draft,merge_cache,0.0608251084861141,1,0.0608251084861141
target,graph_pre,22.606028349647083,1,22.606028349647083
target,graph_post,14.294460783775946,1,14.294460783775946
target,target_spec_wait,4.887466229261765,1,4.887466229261765
target,verify_sample_accept,4.040602494278748,1,4.040602494278748
target,proxy_compute_send,3.9340794271935393,1,3.9340794271935393
target,exit_logits,1.218799940937514,1,1.218799940937514
target,verify_setup,0.3405840793748299,1,0.3405840793748299
target,final_logits,0.3363738866775934,1,0.3363738866775934
target,target_postprocess,0.047152725926495755,1,0.047152725926495755
