proc,label,mean,median,p95,n
draft,draft_glue_replay,3.513,3.516,3.532,14289
draft,draft_recv_cmd,0.226,0.047,0.052,14291
draft,draft_send_response,0.156,0.171,0.187,14289
draft,glue,4.373,4.375,4.409,14289
draft,hit_cache_respond,3.345,0.58,18.351,14289
draft,merge_cache,0.042,0.042,0.044,14289
draft,phase1_build,0.155,0.156,0.164,14289
draft,phase1_prep,0.376,0.123,1.346,71465
draft,phase1_replay,4.124,4.159,4.341,71465
draft,phase2_build,1.342,1.308,1.529,14289
draft,phase2_prep,0.356,0.106,1.378,71465
draft,phase2_replay,4.192,4.265,4.36,71465
draft,proxy_wait,1.731,1.706,3.823,14289
target,exit_logits,1.353,1.321,1.43,14289
target,final_logits,0.339,0.338,0.346,14289
target,graph_post,11.339,11.344,11.389,14289
target,graph_pre,25.06,25.06,25.479,14289
target,proxy_compute_send,1.979,1.737,3.097,14289
target,target_postprocess,0.054,0.039,0.14,14289
target,target_spec_wait,13.534,10.951,28.744,14289
target,verify_sample_accept,3.354,3.314,4.179,14289
target,verify_setup,0.258,0.244,0.304,14289
