proc,label,mean,median,p95,n
draft,draft_glue_replay,3.498,3.502,3.519,12838
draft,draft_recv_cmd,0.156,0.052,0.057,12840
draft,draft_send_response,0.143,0.179,0.197,12838
draft,glue,3.943,3.944,3.973,12838
draft,hit_cache_respond,9.447,0.638,25.498,12838
draft,tree_prep,0.357,0.116,1.812,89896
draft,tree_replay,4.645,4.726,4.754,89896
target,target_postprocess,0.075,0.054,0.19,12838
target,target_spec_wait,22.294,14.455,39.501,12838
target,verify_replay,22.9,22.902,23.333,12838
target,verify_sample_accept,4.177,3.821,5.534,12838
