proc,label,mean,median,p95,n
draft,draft_glue_replay,1.614,1.623,1.635,6901
draft,draft_recv_cmd,14.789,14.547,17.101,6903
draft,draft_send_response,0.147,0.186,0.219,6901
draft,glue,2.076,2.075,2.158,6901
draft,hit_cache_respond,5.395,0.702,13.288,6901
draft,tree_prep,0.378,0.117,1.859,48337
draft,tree_replay,3.499,3.537,3.668,48337
target,target_postprocess,0.042,0.038,0.062,6901
target,target_spec_wait,6.597,1.981,14.332,6901
target,verify_replay,40.083,39.866,41.672,6901
target,verify_sample_accept,3.68,3.515,5.102,6901
