arm,draft_cache_response_ms,draft_cache_to_send_gap_ms,draft_compact_gpu_ms,draft_kv_restore_ms,draft_pack_generated_ms,draft_pack_served_ms,draft_parent_q_gather_ms,draft_recv_request_ms,draft_rerank_ms,draft_response_pack_ms,draft_select_subtree_ms,draft_send_fused_ms,draft_send_q_ms,draft_send_response_ms,draft_service_to_send_end_ms,repeat,status,steps,target_full_profile_ms,target_meta_read_ms,target_parent_q_select_ms,target_postverify_ms,target_preverify_gap_ms,target_recv_fused_ms,target_recv_q_ms,target_recv_wait_ms,target_send_request_ms,target_spec_wait_ms,target_topology_cpu_pack_ms,target_topology_h2d_ms,target_topology_prepare_ms,target_verify_profile_ms,target_wire_validate_ms,verify_accept_core_ms,verify_accept_prep_ms,verify_attn_buffers_ms,verify_exit_proxy_ms,verify_final_logits_ms,verify_graph_post_ms,verify_graph_pre_ms,verify_input_copy_ms,verify_kv_commit_ms,verify_sample_accept_ms,verify_setup_ms,verify_tree_mask_ms,verify_tree_meta_ms
chain,2.5476105474030395,0.12171000318066158,nan,nan,nan,nan,nan,0.3636567938418789,nan,0.0766750128404178,nan,0.12013142008059505,0.09165858520957956,0.25951413768545056,3.3132678315839694,1,all,393,65.75253458969466,0.0004302493640033258,nan,0.41711518964694655,1.2392354484732824,2.6669428624572946,0.15645964417142116,2.8545315920851615,0.6164722640550774,4.127601582282069,nan,nan,nan,59.9685859971374,nan,3.7384458364724504,0.12066801036435533,nan,0.9422845383940156,0.23301838201875905,15.55619550175946,38.95547739664713,nan,nan,3.8074435411215437,0.3506119487849811,nan,nan
chain,0.9550073873037579,0.12025375658524905,nan,nan,nan,nan,nan,0.3626165213027676,nan,0.07577330276541326,nan,0.11607368601578863,0.09061590790520226,0.2541877703305862,1.7129860362787357,1,hit_k1,261,64.97001092552682,0.0004294865899157293,nan,0.4311935015565134,1.2768086985153257,1.0627419455298062,0.15387905037951197,1.248124811384413,0.624928121708362,2.544256606777966,nan,nan,nan,60.717722925646555,nan,3.8347779854960824,0.12283181641750408,nan,0.944358988511608,0.24379917237036985,15.723739349979093,39.37566339193176,nan,nan,3.9053035376172414,0.36493462038679597,nan,nan
chain,0.9506837673047009,0.11971507352941177,nan,nan,nan,nan,nan,0.3693581166512826,nan,0.07580564686042421,nan,0.11660141180105069,0.09063576457693297,0.2547999999540694,1.7138384650735294,1,hit_k2,68,62.95285213694853,0.00043200000072829425,nan,0.41633157169117646,1.2758071001838236,1.063841881120906,0.1529924716143047,1.2482767070040983,0.6213807029759183,2.5292301107855404,nan,nan,nan,58.73153866038603,nan,3.708479057340061,0.12196564696290914,nan,0.9402456458877114,0.21151105993810823,15.23593783378601,38.05639844782212,nan,nan,3.7762837725527145,0.3614367045023862,nan,nan
chain,10.739180013537407,0.12976837158203125,nan,nan,nan,nan,nan,0.36184149980545044,nan,0.08127600059378892,nan,0.14043000061064959,0.09699750051368028,0.2862445008940995,11.538810729980469,1,miss,64,71.91842651367188,0.0004315000005590264,nan,0.36053466796875,1.047149658203125,10.912369519472122,0.1706674990709871,11.11230506002903,0.5767730032093823,12.2829499989748,nan,nan,nan,58.227874755859375,nan,3.377430994063616,0.1104649999178946,nan,0.9359909947961569,0.2119045010767877,15.213204517960548,38.1971777677536,nan,nan,3.4414654970169067,0.28070100070908666,nan,nan
chain,2.5653352911842386,0.12533546040076335,nan,nan,nan,nan,nan,0.3791491903421533,nan,0.07871560318248569,nan,0.1209310128450697,0.09117630533589662,0.25968830503580226,3.3506542720260812,2,all,393,65.84785628379453,0.00042935368939985355,nan,0.4175786219783715,1.2361454854484732,2.700497914209924,0.15559434113460036,2.888207144864643,0.6267809060997028,4.172405341805999,nan,nan,nan,60.02173286418575,nan,3.7739503683934683,0.12308763335375993,nan,0.9426296174374549,0.23615071746229216,15.557485366898941,38.97064021646825,nan,nan,3.8445124965890978,0.3488911952984545,nan,nan
chain,0.9617917560526238,0.12367920857279693,nan,nan,nan,nan,nan,0.3784859456778486,nan,0.07759276640483703,nan,0.11876695802956248,0.09045406879136389,0.2565362754338546,1.7410406938457854,2,hit_k1,261,65.07346294300767,0.0004298544061322022,nan,0.43083991858237547,1.2790106411637931,1.0823133174487,0.15469376211878896,1.2693809053906993,0.6378365065402911,2.578905868347577,nan,nan,nan,60.78469228927203,nan,3.8672159366680745,0.1256882755150055,nan,0.944240306757419,0.24860088829793237,15.725405320353891,39.406703802817624,nan,nan,3.938253740697985,0.36245480379610684,nan,nan
chain,0.9661176458877676,0.12234317555147059,nan,nan,nan,nan,nan,0.37290870617417726,nan,0.0774409413775977,nan,0.11849552918882932,0.09199105915339555,0.2583228246692349,1.7419074563419117,2,hit_k2,68,63.0308837890625,0.00042682352838763855,nan,0.4253073299632353,1.2546673943014706,1.0997204710455502,0.15381505910088034,1.2860047010814442,0.6163614111788133,2.5637143639957203,nan,nan,nan,58.7873104319853,nan,3.788600462324479,0.12154211772277075,nan,0.9410498790881213,0.2116456476642805,15.235127575257245,38.03856670155245,nan,nan,3.864368936594795,0.3569251754704644,nan,nan
chain,10.803955018520355,0.1352691650390625,nan,nan,nan,nan,nan,0.3884844994172454,nan,0.08464900008402765,nan,0.13234400027431548,0.09325600031297654,0.27399349864572287,11.624153137207031,2,miss,64,71.99896240234375,0.00043000000005122274,nan,0.35528564453125,1.041656494140625,11.000483006238937,0.1611575020942837,11.192322999238968,0.592765498906374,12.380129545927048,nan,nan,nan,58.22186279296875,nan,3.3780359979718924,0.11412399989785627,nan,0.937739497050643,0.21141400118358433,15.215191960334778,38.18264651298523,nan,nan,3.4411265179514885,0.28504100046120584,nan,nan
chain,2.3895505760007234,0.10588372694020357,nan,nan,nan,nan,nan,0.3448332217130952,nan,0.06712891613595358,nan,0.10359922643874134,0.0787904326242345,0.22284466191254196,3.0760376908396947,3,all,393,65.39505680462786,0.0004995419861838867,nan,0.3991034510178117,1.213680820610687,2.4731094259342163,0.13925496174103127,2.642654374583077,0.5856970591096174,3.882827408137819,nan,nan,nan,59.899487366809794,nan,3.5765303197404505,0.10830241238873727,nan,0.9427860368602452,0.236008711822767,15.557578111119549,39.101565877899866,nan,nan,3.6428071299885367,0.3398536789129102,nan,nan
chain,0.7958305596848557,0.10290199952107279,nan,nan,nan,nan,nan,0.3491228197155328,nan,0.06533222995213166,nan,0.09945612258038758,0.07690813794903371,0.2157471880488012,1.4752940912356323,3,hit_k1,261,64.62802322796935,0.0005343141783808511,nan,0.4126388140565134,1.244004055914751,0.8661023138583391,0.1364992485021266,1.0336383770708837,0.5965350505492696,2.305971248853252,nan,nan,nan,60.66544502813697,nan,3.671833869597921,0.11150835268913101,nan,0.9447420091007861,0.2481989874807811,15.72487872770463,39.53782085257929,nan,nan,3.7397351776503056,0.3547271103580336,nan,nan
