proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase2_replay,4.1792362136946455,4,16.716944854778582
draft,phase1_replay,4.153807974815699,4,16.615231899262795
draft,glue,4.387417089723664,1,4.387417089723664
draft,draft_glue_replay,3.5114109611240467,1,3.5114109611240467
draft,hit_cache_respond,2.997370732304429,1,2.997370732304429
draft,phase2_build,1.3643270999257167,1,1.3643270999257167
draft,phase1_prep,0.3852706522181728,1,0.3852706522181728
draft,phase2_prep,0.36284781539685673,1,0.36284781539685673
draft,draft_recv_cmd,0.21737476981305015,1,0.21737476981305015
draft,draft_send_response,0.16339405879458804,1,0.16339405879458804
draft,phase1_build,0.1557068542026762,1,0.1557068542026762
draft,proxy_wait,0.049450315014927984,1,0.049450315014927984
draft,merge_cache,0.04301041056296971,1,0.04301041056296971
target,target_spec_wait,30.245121280074358,1,30.245121280074358
target,graph_pre,15.322508938416048,1,15.322508938416048
target,graph_post,6.090003053696728,1,6.090003053696728
target,verify_sample_accept,2.3588763489534004,1,2.3588763489534004
target,proxy_compute_send,0.7952516946768002,1,0.7952516946768002
target,exit_logits,0.32708322847700955,1,0.32708322847700955
target,final_logits,0.3164623737640637,1,0.3164623737640637
target,verify_setup,0.2295620294891313,1,0.2295620294891313
target,target_postprocess,0.0368807611702071,1,0.0368807611702071
