proc,label,mean,median,p95,n
draft,draft_glue_replay,3.511,3.516,3.53,14441
draft,draft_recv_cmd,0.217,0.048,0.054,14443
draft,draft_send_response,0.163,0.177,0.193,14441
draft,glue,4.387,4.39,4.422,14441
draft,hit_cache_respond,2.997,0.615,18.367,14441
draft,merge_cache,0.043,0.043,0.044,14441
draft,phase1_build,0.156,0.157,0.164,14441
draft,phase1_prep,0.385,0.124,1.413,72225
draft,phase1_replay,4.154,4.218,4.339,72225
draft,phase2_build,1.364,1.352,1.569,14441
draft,phase2_prep,0.363,0.106,1.401,72225
draft,phase2_replay,4.179,4.252,4.338,72225
draft,proxy_wait,0.049,0.002,0.003,14441
target,exit_logits,0.327,0.278,0.282,14441
target,final_logits,0.316,0.316,0.322,14441
target,graph_post,6.09,6.092,6.124,14441
target,graph_pre,15.323,15.289,15.576,14441
target,proxy_compute_send,0.795,0.782,0.881,14441
target,target_postprocess,0.037,0.026,0.093,14441
target,target_spec_wait,30.245,28.686,46.456,14441
target,verify_sample_accept,2.359,2.277,2.664,14441
target,verify_setup,0.23,0.227,0.24,14441
