proc,label,mean,median,p95,n
draft,draft_glue_replay,1.596,1.606,1.615,7657
draft,draft_recv_cmd,0.312,0.047,0.299,7659
draft,draft_send_response,0.159,0.175,0.195,7657
draft,glue,2.475,2.481,2.517,7657
draft,hit_cache_respond,2.021,0.63,9.527,7657
draft,merge_cache,0.052,0.052,0.053,7657
draft,phase1_build,0.154,0.156,0.167,7657
draft,phase1_prep,0.397,0.128,1.461,38305
draft,phase1_replay,3.346,3.312,3.552,38305
draft,phase2_build,1.455,1.444,1.716,7657
draft,phase2_prep,0.374,0.11,1.441,38305
draft,phase2_replay,3.393,3.365,3.616,38305
draft,proxy_wait,6.586,6.765,8.253,7657
target,exit_logits,1.198,1.235,1.353,7657
target,final_logits,0.33,0.33,0.336,7657
target,graph_post,14.308,14.319,14.378,7657
target,graph_pre,22.389,22.358,22.816,7657
target,proxy_compute_send,3.913,4.309,4.701,7657
target,target_postprocess,0.046,0.042,0.064,7657
target,target_spec_wait,4.8,3.555,12.391,7657
target,verify_sample_accept,4.042,4.023,4.852,7657
target,verify_setup,0.333,0.345,0.403,7657
