proc,label,mean_ms,mult_per_step,ms_per_step
draft,tree_replay,4.64763408837236,4,18.59053635348944
draft,hit_cache_respond,9.14126393532587,1,9.14126393532587
draft,glue,3.944294713561268,1,3.944294713561268
draft,draft_glue_replay,3.499639842147004,1,3.499639842147004
draft,tree_prep,0.3481483940442305,1,0.3481483940442305
draft,draft_recv_cmd,0.16087973187141397,1,0.16087973187141397
draft,draft_send_response,0.14576763430280643,1,0.14576763430280643
target,verify_replay,22.805412615309695,1,22.805412615309695
target,target_spec_wait,20.390167768751894,1,20.390167768751894
target,verify_sample_accept,5.452702451421779,1,5.452702451421779
target,target_postprocess,0.09050220213143506,1,0.09050220213143506
