proc,label,mean,median,p95,n
draft,draft_glue_replay,3.5,3.504,3.521,13069
draft,draft_recv_cmd,0.161,0.052,0.058,13071
draft,draft_send_response,0.146,0.182,0.198,13069
draft,glue,3.944,3.948,3.971,13069
draft,hit_cache_respond,9.141,0.669,25.554,13069
draft,tree_prep,0.348,0.108,1.788,91513
draft,tree_replay,4.648,4.724,4.759,91513
target,target_postprocess,0.091,0.067,0.215,13069
target,target_spec_wait,20.39,12.464,37.333,13069
target,verify_replay,22.805,22.757,23.396,13069
target,verify_sample_accept,5.453,5.666,5.84,13069
