proc,label,mean,median,p95,n
draft,draft_glue_replay,1.588,1.595,1.607,9061
draft,draft_recv_cmd,28.277,28.068,30.0,9063
draft,draft_send_response,0.141,0.175,0.191,9061
draft,glue,2.033,2.038,2.059,9061
draft,hit_cache_respond,2.101,0.606,5.925,9061
draft,tree_prep,0.421,0.11,1.044,27193
draft,tree_replay,2.262,2.272,2.538,27193
target,target_postprocess,0.046,0.04,0.061,9061
target,target_spec_wait,3.324,1.836,6.976,9061
target,verify_replay,32.879,32.811,33.432,9061
target,verify_sample_accept,4.412,4.299,5.785,9061
