proc,label,mean,median,p95,n
draft,draft_glue_replay,1.604,1.609,1.619,14136
draft,draft_recv_cmd,0.217,0.047,0.053,14138
draft,draft_send_response,0.153,0.168,0.185,14136
draft,glue,2.476,2.479,2.506,14136
draft,hit_cache_respond,2.028,0.6,9.539,14136
draft,merge_cache,0.042,0.042,0.044,14136
draft,phase1_build,0.155,0.157,0.163,14136
draft,phase1_prep,0.388,0.122,1.419,70700
draft,phase1_replay,2.328,2.357,2.557,70700
draft,phase2_build,1.309,1.294,1.5,14136
draft,phase2_prep,0.356,0.106,1.382,70700
draft,phase2_replay,2.412,2.483,2.562,70700
draft,proxy_wait,0.031,0.002,0.005,14136
target,exit_logits,0.358,0.329,0.343,14136
target,final_logits,0.322,0.322,0.327,14136
target,graph_post,9.363,9.37,9.414,14136
target,graph_pre,11.697,11.68,11.848,14136
target,proxy_compute_send,0.776,0.768,0.881,14136
target,target_postprocess,0.035,0.026,0.083,14136
target,target_spec_wait,9.195,8.654,17.579,14136
target,verify_sample_accept,2.672,2.696,2.776,14136
target,verify_setup,0.3,0.307,0.321,14136
