proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase2_replay,4.2246009827724516,4,16.898403931089806
draft,phase1_replay,3.8457161379033056,4,15.382864551613222
draft,glue,4.442702121962715,1,4.442702121962715
draft,hit_cache_respond,4.0408833922985785,1,4.0408833922985785
draft,draft_glue_replay,3.5485734121567765,1,3.5485734121567765
draft,phase2_build,1.4803594112432332,1,1.4803594112432332
draft,proxy_wait,0.4464814389378667,1,0.4464814389378667
draft,phase1_prep,0.4030832521192629,1,0.4030832521192629
draft,phase2_prep,0.3788171495161252,1,0.3788171495161252
draft,draft_recv_cmd,0.22886950828995434,1,0.22886950828995434
draft,phase1_build,0.19147970669632458,1,0.19147970669632458
draft,draft_send_response,0.1627318707424183,1,0.1627318707424183
draft,merge_cache,0.04402069148587533,1,0.04402069148587533
target,graph_pre,29.38844308685686,1,29.38844308685686
target,target_spec_wait,20.10690086858943,1,20.10690086858943
target,graph_post,12.26698603884148,1,12.26698603884148
target,verify_sample_accept,2.0973296590440387,1,2.0973296590440387
target,proxy_compute_send,0.6671846444827659,1,0.6671846444827659
target,exit_logits,0.4439941379601148,1,0.4439941379601148
target,final_logits,0.4189824811051803,1,0.4189824811051803
target,verify_setup,0.22716113665912896,1,0.22716113665912896
target,target_postprocess,0.03392664367466141,1,0.03392664367466141
