proc,label,mean,median,p95,n
draft,draft_glue_replay,1.601,1.611,1.626,6796
draft,draft_recv_cmd,0.27,0.048,0.055,6798
draft,draft_send_response,0.164,0.183,0.202,6796
draft,glue,2.474,2.475,2.531,6796
draft,hit_cache_respond,3.055,0.639,13.081,6796
draft,merge_cache,0.076,0.076,0.078,6796
draft,phase1_build,0.178,0.179,0.194,6796
draft,phase1_prep,0.365,0.13,1.787,47602
draft,phase1_replay,2.262,2.303,2.513,47602
draft,phase2_build,1.465,1.444,1.741,6796
draft,phase2_prep,0.351,0.108,1.803,47602
draft,phase2_replay,3.595,3.699,3.717,47602
draft,proxy_wait,8.326,8.296,10.758,6796
target,exit_logits,1.206,1.236,1.427,6796
target,final_logits,0.354,0.352,0.361,6796
target,graph_post,15.835,15.792,15.961,6796
target,graph_pre,26.052,25.928,26.876,6796
target,proxy_compute_send,2.211,2.116,3.209,6796
target,target_postprocess,0.043,0.041,0.059,6796
target,target_spec_wait,13.789,11.691,24.23,6796
target,verify_sample_accept,3.674,3.695,4.775,6796
target,verify_setup,0.265,0.252,0.33,6796
