arm,source,seed,events,questions,event_pooled_al,question_mean_al
chain,Miss (fresh JIT),42,648,30,3.1496913580246915,3.651906823049309
chain,P1,42,1993,30,4.610637230306072,4.890809542477092
chain,P2,42,652,30,3.5383435582822087,4.314362963527079
tree,Miss (fresh JIT),42,466,30,3.5836909871244633,3.288042281835217
tree,P1,42,1598,29,5.533166458072591,5.562676671227925
tree,P2,42,471,29,3.798301486199575,4.411424013673513
