proc,label,mean,median,p95,n
draft,draft_glue_replay,1.616,1.625,1.633,7731
draft,draft_recv_cmd,18.393,18.259,20.034,7733
draft,draft_send_response,0.157,0.208,0.226,7731
draft,glue,2.177,2.156,2.304,7731
draft,hit_cache_respond,4.053,0.806,9.775,7731
draft,tree_prep,0.47,0.133,1.839,38675
draft,tree_replay,3.421,3.393,3.645,38675
target,target_postprocess,0.042,0.038,0.061,7731
target,target_spec_wait,5.282,2.149,10.853,7731
target,verify_replay,36.008,35.931,36.595,7731
target,verify_sample_accept,3.942,3.916,5.045,7731
