proc,label,mean,median,p95,n
draft,draft_glue_replay,1.605,1.611,1.619,14452
draft,draft_recv_cmd,0.216,0.047,0.054,14454
draft,draft_send_response,0.161,0.173,0.191,14452
draft,glue,2.477,2.482,2.506,14452
draft,hit_cache_respond,1.744,0.6,9.537,14452
draft,merge_cache,0.042,0.042,0.044,14452
draft,phase1_build,0.155,0.156,0.163,14452
draft,phase1_prep,0.389,0.124,1.403,72280
draft,phase1_replay,2.306,2.341,2.528,72280
draft,phase2_build,1.322,1.305,1.531,14452
draft,phase2_prep,0.356,0.106,1.381,72280
draft,phase2_replay,2.411,2.482,2.561,72280
draft,proxy_wait,0.526,0.089,1.906,14452
target,exit_logits,0.301,0.28,0.292,14452
target,final_logits,0.319,0.319,0.324,14452
target,graph_post,6.093,6.097,6.128,14452
target,graph_pre,15.064,15.093,15.469,14452
target,proxy_compute_send,0.813,0.779,1.019,14452
target,target_postprocess,0.035,0.025,0.087,14452
target,target_spec_wait,9.636,8.811,17.688,14452
target,verify_sample_accept,2.417,2.33,3.0,14452
target,verify_setup,0.26,0.228,0.443,14452
