k,position_count,method,avg_position_budget,total_cache_roots,weighted_cache_hit_rate,verify_steps,requests,complete
8,9,duet,2,18,0.778362853039732,4178,35,True
8,9,duet,3,27,0.7965139845966761,4934,35,True
8,9,duet,4,36,0.82186616399623,4244,35,True
8,9,duet,5,45,0.8578680203045685,4334,35,True
8,9,duet,6,54,0.8275225121219117,4331,35,True
8,9,duet,7,63,0.8231791113147046,4366,35,True
8,9,duet,8,72,0.8225216994061215,4378,35,True
8,9,only_proxy,2,18,0.7294569918308506,4162,35,True
8,9,only_proxy,3,27,0.7483638004965019,4431,35,True
8,9,only_proxy,4,36,0.7688453159041394,4590,35,True
8,9,only_proxy,5,45,0.7402208927749655,4346,35,True
8,9,only_proxy,6,54,0.8120184899845917,4543,35,True
8,9,only_proxy,7,63,0.7748834658623526,3647,35,True
8,9,only_proxy,8,72,0.7803749695641587,4107,35,True
8,9,geo,2,18,0.6055743243243243,3552,35,True
8,9,geo,3,27,0.7096081588835212,3726,35,True
8,9,geo,4,36,0.7217261904761905,4032,35,True
8,9,geo,5,45,0.7978870004593477,4354,35,True
8,9,geo,6,54,0.8045576407506703,3730,35,True
8,9,geo,7,63,0.8181201988251242,4426,35,True
8,9,geo,8,72,0.8020110126885325,4177,35,True
8,9,uniform,2,18,0.6341523341523342,4070,35,True
8,9,uniform,3,27,0.6706810631229236,4816,35,True
8,9,uniform,4,36,0.7527643889991494,3527,35,True
8,9,uniform,5,45,0.7451390966198026,3343,35,True
8,9,uniform,6,54,0.74762020990969,4097,35,True
8,9,uniform,7,63,0.7889784946236559,4464,35,True
8,9,uniform,8,72,0.8219565217391305,4600,35,True
