proc,label,mean,median,p95,n
draft,draft_glue_replay,3.512,3.516,3.531,14241
draft,draft_recv_cmd,0.216,0.048,0.055,14243
draft,draft_send_response,0.161,0.176,0.195,14241
draft,glue,4.381,4.383,4.422,14241
draft,hit_cache_respond,3.209,0.624,18.385,14241
draft,merge_cache,0.042,0.042,0.044,14241
draft,phase1_build,0.155,0.156,0.164,14241
draft,phase1_prep,0.401,0.13,1.495,71225
draft,phase1_replay,4.153,4.22,4.338,71225
draft,phase2_build,1.421,1.406,1.619,14241
draft,phase2_prep,0.372,0.108,1.451,71225
draft,phase2_replay,4.182,4.254,4.35,71225
draft,proxy_wait,0.051,0.002,0.002,14241
target,exit_logits,1.425,1.351,1.531,14241
target,final_logits,0.312,0.311,0.317,14241
target,graph_post,7.728,7.724,7.789,14241
target,graph_pre,13.579,13.552,13.852,14241
target,proxy_compute_send,0.792,0.78,0.888,14241
target,target_postprocess,0.042,0.029,0.107,14241
target,target_spec_wait,29.273,27.404,45.231,14241
target,verify_sample_accept,2.76,2.648,3.452,14241
target,verify_setup,0.233,0.228,0.25,14241
