proc,label,mean,median,p95,n
draft,draft_glue_replay,1.598,1.604,1.616,14207
draft,draft_recv_cmd,0.595,0.051,1.763,14209
draft,draft_send_response,0.165,0.18,0.202,14207
draft,glue,2.475,2.47,2.533,14207
draft,hit_cache_respond,1.976,0.636,9.54,14207
draft,merge_cache,0.043,0.042,0.044,14207
draft,phase1_build,0.155,0.156,0.168,14207
draft,phase1_prep,0.406,0.127,1.466,71055
draft,phase1_replay,2.296,2.332,2.518,71055
draft,phase2_build,1.448,1.401,1.777,14207
draft,phase2_prep,0.376,0.108,1.448,71055
draft,phase2_replay,2.402,2.474,2.552,71055
draft,proxy_wait,12.77,12.605,14.804,14207
target,exit_logits,1.569,1.477,1.74,14207
target,final_logits,0.336,0.335,0.349,14207
target,graph_post,11.428,11.382,11.748,14207
target,graph_pre,25.305,25.191,26.355,14207
target,proxy_compute_send,1.651,1.535,2.839,14207
target,target_postprocess,0.051,0.038,0.13,14207
target,target_spec_wait,3.716,2.22,11.123,14207
target,verify_sample_accept,3.408,3.426,4.208,14207
target,verify_setup,0.317,0.304,0.425,14207
